Title,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,ScrapeDate,SourceURL
Mitsubishi Lancer Box 1982 Car,Mitsubishi,Lancer,2025,,,,,,2025-11-24,No,,No,No,No,No,1075000,2025-11-24,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-kuliyapitiya-10809937
Hero-Honda Hatchback 1984 Car,Honda,Hatchback,2025,,,,,Hero,2025-11-24,No,,No,No,No,No,825000,2025-11-24,https://riyasewana.com/buy/hero-honda-hatchback-sale-kandy-10809935
Daihatsu Mira L Safety 2024 Car,Daihatsu,Mira,2024,,,,,,2025-11-24,No,,No,No,No,No,6650000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-l-sale-colombo-10809934
Nissan SUNNY B210 B211 1979 Car,Nissan,SUNNY,2025,,,,,,2025-11-24,No,,No,No,No,No,395000,2025-11-24,https://riyasewana.com/buy/nissan-sunny-b210-sale-kandy-10809921
Daihatsu Mira X Limited 2023 Car,Daihatsu,Mira,2023,,,,,,2025-11-24,No,,No,No,No,No,6850000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-10809918
Toyota Yaris G Grade 2023 Car,Toyota,Yaris,2023,,,,,,2025-11-24,No,,No,No,No,No,10600000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-g-sale-nugegoda-10809890
Suzuki Wagon R Hybrid Safety 2023 Car,Suzuki,Wagon,2023,,,Hybrid,,,2025-11-24,No,,No,No,No,No,1500000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-anuradapura-10809889
Toyota YARIS 2022 Car,Toyota,YARIS,2022,,,,,,2025-11-19,No,,No,No,No,No,9050000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-sale-kadawatha-10780308
Toyota Roomy Custom GT 2023 Car,Toyota,Roomy,2023,,,,,,2025-11-24,No,,No,No,No,No,11200000,2025-11-24,https://riyasewana.com/buy/toyota-roomy-custom-sale-wennappuwa-10809878
Mitsubishi Ek Wagon 2023 Car,Mitsubishi,Ek,2023,,,,,,2025-11-24,No,,No,No,No,No,69500005,2025-11-24,https://riyasewana.com/buy/mitsubishi-ek-wagon-sale-pannipitiya-10809877
Suzuki Spacia Custom XS 2025 Car,Suzuki,Spacia,2025,,,,,,2025-11-24,No,,No,No,No,No,10650000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-custom-sale-nittambuwa-10809871
Honda CITY RS V TEC TURBO 2025 Car,Honda,CITY,2025,,,,,Dehiwala,2025-11-24,No,,No,No,No,No,14000000,2025-11-24,https://riyasewana.com/buy/honda-city-rs-sale-dehiwala-mount-lavinia-10809846
Honda GR 3 EHEV 2023 Car,Honda,GR,2023,,,Electric,,,2025-11-24,No,,No,No,No,No,13150000,2025-11-24,https://riyasewana.com/buy/honda-gr-3-sale-kaduwela-10809828
Nissan ROOX X 2024 Car,Nissan,ROOX,2024,,,,,,2025-11-24,No,,No,No,No,No,8050000,2025-11-24,https://riyasewana.com/buy/nissan-roox-x-sale-colombo-10809825
Nissan HB11 1983 Car,Nissan,HB11,2025,,,,,,2025-11-24,No,,No,No,No,No,920000,2025-11-24,https://riyasewana.com/buy/nissan-hb11-sale-nugegoda-10809812
