Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
MERCEDES-BENZ,E200,2018,1990.0,Automatic,Petrol,80949.0,Colombo,2026-03-23,Leasing Available,BRAND NEW,Available,Available,Available,Available,300.9
TOYOTA,Corsa,1989,1495.0,Manual,Petrol,125542.0,Matara,2026-03-23,Leasing Available,USED,Available,Available,Not_Available,Not_Available,15.8
DAIHATSU,Mira,2003,660.0,Automatic,Petrol,150000.0,Malabe,2026-03-23,Leasing Available,USED,Available,Available,Not_Available,Available,35.9
SUZUKI,Swift,2001,1300.0,Automatic,Petrol,96346.0,Horana,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,34.5
TOYOTA,Premio G Superior,2016,1500.0,Automatic,Petrol,150000.0,Ja-Ela,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,1.5
DAIHATSU,Charade,1990,1990.0,Manual,Diesel,125000.0,Kurunegala,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,8.8
TOYOTA,Aqua,2012,1500.0,Automatic,Hybrid,117000.0,Ragama,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,70.0
TOYOTA,Premio,2018,1500.0,Automatic,Petrol,100000.0,Matara,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,1.0
SUZUKI,Wagon R,2014,650.0,Automatic,Petrol,117000.0,Galle,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,57.5
SUZUKI,Wagon R Stingray,2017,650.0,Automatic,Hybrid,112000.0,Galle,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,67.4
NISSAN,March K11,2003,1000.0,Automatic,Petrol,169000.0,Kottawa,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,32.5
MICRO,Mx7,2013,1500.0,Manual,Petrol,81000.0,Piliyandala,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,34.0
MERCEDES-BENZ,E300 AMG,2015,2000.0,Automatic,Diesel,110000.0,Battaramulla,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,25.0
MERCEDES-BENZ,E200 Elegance,2005,1990.0,Automatic,Petrol,155000.0,Colombo,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,1.6
TOYOTA,Vitz,2018,1000.0,Automatic,Petrol,30000.0,Matara,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,87.5
HONDA,FIT GP5,2015,1500.0,Automatic,Hybrid,150.0,Negombo,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,77.5
TOYOTA,Belta,2011,1300.0,Automatic,Petrol,175000.0,Embilipitiya,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,63.5
TOYOTA,Axio Wxb,2017,1500.0,Automatic,Hybrid,117600.0,Kadawatha,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,119.5
TOYOTA,Aqua,2013,1500.0,Automatic,Hybrid,109000.0,Nugegoda,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,1.1
PERODUA,Viva Elite Premium,2010,1000.0,Automatic,Petrol,123000.0,Kottawa,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,42.4
TOYOTA,Corolla 121,2006,1498.0,Automatic,Petrol,150000.0,Ragama,2026-03-23,Leasing Available,USED,Available,Available,Not_Available,Available,62.0
HONDA,FIT GP5,2013,1500.0,Automatic,Hybrid,138.0,Negombo,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,77.5
SUZUKI,Wagon R FZ,2015,660.0,Automatic,Petrol,85000.0,Nugegoda,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,56.5
MAZDA,Demio,2008,1600.0,Automatic,Petrol,162000.0,Ja-Ela,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,48.8
SUZUKI,Wagon R,2017,650.0,Automatic,Hybrid,85000.0,Matara,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,64.0
MAZDA,2 Skyactiv,2015,1500.0,Automatic,Petrol,180000.0,Kadawatha,2026-03-23,Leasing Available,BRAND NEW,Available,Available,Available,Available,78.0
SUZUKI,Alto Sport,2012,800.0,Manual,Petrol,147000.0,Kandy,2026-03-23,Leasing Available,USED,Available,Available,Not_Available,Not_Available,31.8
TOYOTA,Sprinter,1997,1330.0,Automatic,Petrol,160000.0,Kalutara,2026-03-23,Leasing Available,USED,Available,Available,Not_Available,Not_Available,34.2
SUZUKI,Alto K10,2012,1000.0,Manual,Petrol,134000.0,Boralesgamuwa,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,34.0
MICRO,Panda,2015,1000.0,Manual,Petrol,38500.0,Horana,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,31.2
SUZUKI,Maruti,2006,800.0,Manual,Petrol,123456.0,Matara,2026-03-23,Leasing Available,USED,Available,Not_Available,Not_Available,Not_Available,21.0
TOYOTA,Aqua,2015,1500.0,Automatic,Hybrid,100000.0,Matara,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,88.8
SUZUKI,Maruti,2008,800.0,Manual,Petrol,50000.0,Colombo,2026-03-23,Leasing Available,USED,Available,Available,Not_Available,Not_Available,20.5
MERCEDES-BENZ,CLA220 AMG LINE CONSIDERED,2013,2200.0,Automatic,Diesel,106000.0,Ja-Ela,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,169.9
TOYOTA,Axio X Grade,2008,1500.0,Automatic,Petrol,182000.0,Kadawatha,2026-03-23,Leasing Available,USED,Available,Available,Available,Available,69.8
TATA,Nano,2011,660.0,Manual,Petrol,120000.0,Gampaha,2026-03-23,Leasing Available,USED,Not_Available,Not_Available,Not_Available,Available,14.5
